"individual","KephLevel","RegulatoryBody","FacilityType","Owner"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11074","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Kenya Episcopal Conference-Catholic Secretariat"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11076","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11077","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11083","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11084","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11085","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11086","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Christian Health Association of Kenya"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11088","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11090","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11091","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11092","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11093","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11094","Level 5","Ministry of Health","Comprehensive Teaching &Referral","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11095","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11097","Level 4","Kenya MPDB - Institution","Primary care hospitals","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11098","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11099","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11101","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11102","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11104","Level 4","Ministry of Health","Secondary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11105","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11106","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11108","Level 2","Kenya MPDB - Institution","Laboratory","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11109","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11110","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11117","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11118","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11119","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11122","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11123","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11124","Level 4","Kenya MPDB - Institution","Primary care hospitals","Christian Health Association of Kenya"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11125","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11126","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11129","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11130","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11131","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11132","Level 2","Kenya MPDB - Institution","Radiology Clinic","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11133","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11135","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11136","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11137","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11138","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11139","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11140","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Private Practice - General Practitioner"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11141","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11144","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11145","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11148","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11150","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11152","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11153","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11154","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11155","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11156","Level 3","Kenya MPDB - Institution","Basic primary health care facility","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11161","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11164","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11166","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Private Practice - General Practitioner"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11167","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11168","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11170","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11171","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11172","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11173","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11175","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11176","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11177","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11178","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11180","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Christian Health Association of Kenya"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11181","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11182","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11183","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11186","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11188","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11189","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11192","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11193","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11194","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11195","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11196","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Non-Governmental Organizations"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11198","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11200","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11201","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11203","Level 4","Kenya MPDB - Institution","Primary care hospitals","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11204","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11205","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Practice - Medical Specialist"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11207","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11208","Level 4","Kenya MPDB - Institution","Primary care hospitals","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11209","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11210","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11217","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11218","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11221","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11225","Level 3","Other","Primary care hospitals","Armed Forces"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11226","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11229","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11232","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11233","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11234","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11235","Level 3","Kenya MPDB - Institution","Basic primary health care facility","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11236","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Non-Governmental Organizations"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11239","Level 2","Other","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11240","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11243","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11244","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11245","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11247","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11248","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11253","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11254","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11255","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11256","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11258","Level 4","Kenya MPDB - Institution","Primary care hospitals","Non-Governmental Organizations"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11259","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11260","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11262","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11265","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Other Faith Based"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11266","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11270","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11273","Level 2","Other","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11274","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11276","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11278","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11280","Level 2","Kenya MPDB - Institution","Basic primary health care facility","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11282","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11283","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11285","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11287","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11288","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11289","Level 5","Ministry of Health","Comprehensive Teaching &Referral","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11291","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Other Faith Based"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11292","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11293","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11296","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Christian Health Association of Kenya"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11297","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11298","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11299","Level 4","Kenya MPDB - Institution","Primary care hospitals","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11300","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11302","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11303","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11304","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11306","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11313","Level 2","Other","Dispensaries and clinic-out patient only","Private Practice - General Practitioner"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11314","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Private Practice - General Practitioner"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11336","Level 2","Other","Dispensaries and clinic-out patient only","Private Practice - General Practitioner"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11347","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Private Practice - Medical Specialist"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11352","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Private Practice - General Practitioner"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11358","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Private Practice - General Practitioner"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11360","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11362","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - Nurse / Midwifery"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11364","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11365","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Other Faith Based"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11366","Level 3","Kenya MPDB - Institution","Basic primary health care facility","Other Faith Based"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11368","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11370","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11371","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11372","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11373","Level 4","Ministry of Health","Primary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11375","Level 2","Other","Dispensaries and clinic-out patient only","Non-Governmental Organizations"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11376","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11378","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11379","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11380","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11381","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11382","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11384","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11385","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11386","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11387","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11388","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11390","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11392","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Kenya Episcopal Conference-Catholic Secretariat"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11393","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11394","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11395","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11397","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11398","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11399","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11400","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11401","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11402","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11403","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11404","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11408","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#11409","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
